Usage statistics start at 5:00 each day
,Main (kWh),Gym (kWh),PlugLoad (kWh),Lighting (kWh),Emergency Kitchen+Lights (kWh),Chillers (kWh),CollinCent (kWh)
2015-09-29,6778.0,1513.0699999999997,675.0400000000009,2342.699999999997,1002.3899999999994,424.7000000000007,573.2800000000061
2015-09-30,6733.0,1408.0999999999985,684.1800000000003,2186.4400000000023,966.8099999999977,431.6100000000006,807.5
2015-10-01,5764.0,1402.9400000000023,673.7400000000016,1865.9199999999983,986.7899999999936,106.9900000000016,442.8700000000026
2015-10-02,5166.0,1270.2699999999968,590.8200000000033,1644.2200000000012,929.3499999999985,1.8400000000001455,429.7099999999991
2015-10-03,2578.0,471.01000000000204,267.34000000000015,742.0200000000041,728.5400000000009,0.6700000000018917,237.6800000000003
2015-10-04,2726.0,472.16999999999825,233.62000000000262,732.3500000000058,694.3099999999977,0.6399999999994179,465.86999999999534
2015-10-05,5980.0,1572.760000000002,632.9300000000003,1849.0400000000081,974.1100000000006,41.63000000000102,660.560000000005
2015-10-06,5915.0,1444.239999999998,642.9799999999996,1887.0399999999936,954.1100000000006,73.30999999999767,674.6399999999994
2015-10-07,5867.0,1408.989999999998,646.869999999999,1880.5,955.3899999999994,88.16999999999825,633.7099999999991
2015-10-08,5860.0,1309.3199999999997,642.7999999999993,1862.5800000000017,1003.8899999999994,48.580000000001746,730.6500000000015
2015-10-09,6129.0,1518.4199999999983,579.75,1940.229999999996,939.2799999999988,107.06999999999971,794.8600000000006
2015-10-10,2999.0,582.7299999999959,220.38000000000102,723.8899999999994,648.3899999999994,0.7999999999992724,703.4300000000003
2015-10-11,3003.0,485.58000000000175,218.88999999999942,826.1100000000006,714.0699999999997,0.7099999999991269,638.1600000000035
2015-10-12,2772.0,466.59999999999854,221.13000000000102,859.0400000000081,661.1399999999994,0.6500000000014552,447.9800000000032
2015-10-13,5898.0,1296.8699999999953,636.0,2116.279999999999,983.6100000000006,80.54000000000087,543.510000000002
2015-10-14,5976.0,1557.9900000000052,578.4800000000032,1758.2899999999936,916.0200000000041,70.63000000000102,851.3899999999994
2015-10-15,6014.0,1525.4700000000012,604.5400000000009,1801.3600000000006,1183.239999999998,21.209999999999127,622.2299999999959
2015-10-16,6522.0,1505.989999999998,609.4000000000015,1824.37000000001,1127.3399999999965,13.780000000002474,1186.8600000000006
2015-10-17,2829.0,659.320000000007,270.0199999999968,664.25,694.2999999999956,0.7400000000016007,416.23999999999796
2015-10-18,3173.0,740.8000000000029,271.9800000000032,660.2600000000093,926.5400000000009,0.4699999999975262,465.09999999999854
2015-10-19,6489.0,1517.62999999999,658.6500000000015,1721.9000000000087,1283.9099999999962,0.7999999999992724,1071.6399999999994
2015-10-20,6215.0,1519.8600000000006,647.4099999999962,1844.0,1146.5299999999988,20.709999999999127,788.8600000000006
2015-10-21,5850.0,1381.8899999999994,660.9400000000023,1757.699999999997,1072.3399999999965,7.549999999999272,702.6200000000026
