Usage statistics from between 5:00 and 20:00 each day
,Main (kWh),Gym (kWh),PlugLoad (kWh),Lighting (kWh),Emergency Kitchen+Lights (kWh),Chillers (kWh),CollinCent (kWh)
2015-10-11,1909.0,259.26000000000204,138.3299999999981,578.5,447.5500000000029,0.4399999999986903,409.1400000000067
2015-10-12,1847.0,259.09999999999854,139.95000000000073,596.9700000000012,418.34999999999854,0.4000000000014552,361.51000000000204
2015-10-13,4756.0,1094.1299999999974,533.6499999999978,1694.1600000000035,726.6699999999983,79.75,430.5400000000009
2015-10-14,4753.0,1201.9100000000035,480.4200000000019,1469.2699999999895,672.8500000000058,70.34000000000015,659.1800000000003
2015-10-15,4813.0,1147.3699999999953,504.3500000000022,1522.1199999999953,901.2199999999939,20.93999999999869,505.6999999999971
2015-10-16,5215.0,1182.5699999999997,510.90000000000146,1563.0800000000017,869.8700000000026,13.56000000000131,865.560000000005
2015-10-17,1725.0,354.4100000000035,170.80999999999767,413.47000000000116,415.93999999999505,0.5099999999983993,289.5400000000009
2015-10-18,1867.0,438.6900000000023,171.59999999999854,414.2600000000093,506.33000000000175,0.4599999999991269,263.8799999999974
2015-10-19,5374.0,1271.9599999999919,551.8600000000006,1436.1000000000058,1034.7099999999991,0.5200000000004366,888.4799999999959
2015-10-20,5046.0,1211.0400000000081,542.25,1569.6000000000058,896.3199999999997,20.459999999999127,603.0
2015-10-21,4800.0,1151.929999999993,557.9000000000015,1504.0,818.8300000000017,7.330000000001746,540.0699999999997
2015-10-22,4692.0,1226.7600000000093,541.239999999998,1426.0,792.5599999999977,119.13999999999942,394.9799999999959
2015-10-23,4512.0,1111.7399999999907,483.13000000000466,1148.4000000000087,910.9400000000023,0.5200000000004366,647.9800000000032
2015-10-24,1847.0,350.3500000000058,187.02999999999884,426.3999999999942,515.9100000000035,0.3899999999994179,293.54999999999563
2015-10-25,2227.0,317.3099999999977,151.0,396.0,398.04999999998836,0.4599999999991269,897.6199999999953
